Liiklusregistris 2017 aastal esmaselt registreeritud veesõidukid.;;;;;;;;;;
;;;;;;;;;;
Eestis esm reg kp;Liik;Tüüp;Kategooria;Mark;Mudel;Ehitusaasta;Kere materjal;Pikkus;Varasem kasutus;Arv
30.05.2017;Jett;Määramata;C;SEA-DOO;SPARK 900;2017;Määramata;2,83;Uus sõiduk;1
30.05.2017;Jett;Määramata;C;SEA-DOO;GTR-X 230;2017;Määramata;3,32;Uus sõiduk;1
30.05.2017;Jett;Määramata;C;SEA-DOO;RXP-X 300 RS;2017;Määramata;3,32;Uus sõiduk;1
30.05.2017;Jett;Määramata;C;SEA-DOO;GTX LTD 300;2017;Määramata;3,54;Uus sõiduk;1
30.05.2017;Väikelaev;Mootorpaat;D;SILVER;COLIBRI;2007;Alumiinium;4,07;;1
30.05.2017;Väikelaev;Sõudepaat;D;KASSE;430;2016;Plastik;4,27;Uus sõiduk;1
30.05.2017;Väikelaev;Sõudepaat;D;KASSE;430;2017;Plastik;4,27;Uus sõiduk;2
30.05.2017;Väikelaev;Sõudepaat;D;KASSE;430R;2017;Plastik;4,33;Uus sõiduk;1
30.05.2017;Väikelaev;Mootorpaat;C;CASTELLO;61 HT;2016;Plastik;6,05;Uus sõiduk;1
30.05.2017;Väikelaev;Mootorpaat;B;QUICKSILVER;ACTIV 855 WEEKEND;2017;Plastik;7,99;Uus sõiduk;1
31.05.2017;Jett;Määramata;;SEA DOO;GTR 230;2016;Määramata;3,37;Uus sõiduk;1
31.05.2017;Väikelaev;Mootorpaat;D;AVTOBOT;-;1986;Alumiinium;3,5;;1
31.05.2017;Väikelaev;Sõudepaat;D;MÄÄRAMATA;-;1979;Plastik;3,92;;1
31.05.2017;Väikelaev;Mootorpaat;D;SKIPP;440;2016;Plastik;4,4;Uus sõiduk;1
31.05.2017;Väikelaev;Sõudepaat;D;PELLA;NOVA;2016;Plastik;4,4;Uus sõiduk;1
31.05.2017;Väikelaev;Mootorpaat;D;SUVI;4500;1999;Plastik;4,5;;1
31.05.2017;Väikelaev;Mootorpaat;C;TERHI;6020;2000;Plastik;4,6;;1
31.05.2017;Väikelaev;Mootorpaat;C;FLETCHER;21GTS;2001;Plastik;6,5;;1
31.05.2017;Väikelaev;Purjejaht;B;GUYLINE;822;1990;Plastik;8,22;;1
31.05.2017;Väikelaev;Mootorpaat;B;JEANNEAU;NC 9;2016;Plastik;9,12;Uus sõiduk;1
01.06.2017;Jett;Määramata;C;KAWASAKI;JS1500A;2017;Määramata;2,66;Uus sõiduk;1
01.06.2017;Väikelaev;Mootorpaat;D;DULKAN;D290;2016;Sünt. kangas;2,9;Uus sõiduk;1
01.06.2017;Väikelaev;Sõudepaat;C;CATRAN;ENDURO 320PG;2014;Sünt. kangas;3,2;;1
01.06.2017;Väikelaev;Sõudepaat;D;ADMIRAL;AM290;2017;Kumm;3,2;Uus sõiduk;1
01.06.2017;Väikelaev;Mootorpaat;D;PIONER;10 CLASSIC;2016;Plastik;3,23;Uus sõiduk;1
01.06.2017;Väikelaev;Mootorpaat;C;ALEX;450;2017;Plastik;4,45;Uus sõiduk;1
01.06.2017;Väikelaev;Mootorpaat;C;SEA DOO;150 SPEEDSTER;2012;Plastik;4,67;;1
01.06.2017;Väikelaev;Mootorpaat;C;DULKAN;RIB-500;2017;Plastik;5;Uus sõiduk;1
01.06.2017;Väikelaev;Purjejaht;D;OMAVALMISTATUD;TRIMARAAN;2017;Puit;5,5;Uus sõiduk;1
01.06.2017;Väikelaev;Mootorpaat;C;BAYLINER;192 CU;2004;Plastik;5,6;;1
01.06.2017;Väikelaev;Mootorpaat;C;BUSTER;XXL CABIN;2012;Alumiinium;6,57;;1
01.06.2017;Väikelaev;Mootorpaat;C;BAJA;272 SHOOTER;1992;Plastik;8,41;;1
01.06.2017;Väikelaev;Purjejaht;B;SEPARAT;900;1977;Plastik;9;;1
02.06.2017;Jett;Määramata;;SEA DOO;RX DI;2002;Määramata;2,84;;1
02.06.2017;Väikelaev;Sõudepaat;C;JENHAL;Y-360;2015;Sünt. kangas;3,58;Uus sõiduk;1
02.06.2017;Väikelaev;Mootorpaat;D;SKIPP;400;2012;Plastik;4;;1
02.06.2017;Väikelaev;Mootorpaat;C;AMBER;430;2017;Plastik;4,3;Uus sõiduk;1
02.06.2017;Väikelaev;Mootorpaat;D;SKIPP;440;2016;Plastik;4,4;Uus sõiduk;1
02.06.2017;Väikelaev;Mootorpaat;C;SCANDINAVAL;450;2005;Plastik;4,5;;1
02.06.2017;Väikelaev;Mootorpaat;C;-;-;1994;Plastik;4,6;;1
02.06.2017;Väikelaev;Mootorpaat;D;NORDLINE;51;2017;Plastik;5,1;Uus sõiduk;1
02.06.2017;Väikelaev;Mootorpaat;D;NORDLINE;51;2017;Plastik;5,15;Uus sõiduk;1
02.06.2017;Väikelaev;Purjejaht;C;MICROTROSS;-;1994;Plastik;5,5;;1
02.06.2017;Väikelaev;Mootorpaat;C;BELLA;685;1989;Plastik;6,85;;1
02.06.2017;Väikelaev;Mootorpaat;C;YAMARIN CROSS;75 BR;2016;Alumiinium;7,53;Uus sõiduk;1
02.06.2017;Väikelaev;Mootorpaat;C;GRANDEZZA;28 OC;2017;Plastik;8,78;Uus sõiduk;1
03.06.2017;Väikelaev;Mootorpaat;C;OMEGA;TP360KU;2017;Sünt. kangas;3,6;Uus sõiduk;1
03.06.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
05.06.2017;Jett;Määramata;C;YAMAHA;GP 1800;2017;Määramata;3,35;Uus sõiduk;1
05.06.2017;Väikelaev;Sõudepaat;D;DULKAN;D-290 DL;2016;Sünt. kangas;2,9;Uus sõiduk;1
05.06.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
05.06.2017;Väikelaev;Mootorpaat;C;CRESCENT;495;1978;Plastik;4,8;;1
05.06.2017;Väikelaev;Mootorpaat;C;PAKRI;480;2009;Plastik;4,8;;1
05.06.2017;Väikelaev;Mootorpaat;B;CRANCHI;SAFFIRO 34;2007;Plastik;10,35;;1
06.06.2017;Jett;Määramata;C;SEA-DOO;SPARK 900 HO;2017;Määramata;2,9;Uus sõiduk;1
06.06.2017;Jett;Määramata;C;SEA-DOO;GTI SE 155;2017;Määramata;3,37;Uus sõiduk;1
06.06.2017;Väikelaev;Mootorpaat;C;JENHAL;Y-270;2016;Sünt. kangas;2,72;Uus sõiduk;1
06.06.2017;Väikelaev;Mootorpaat;D;CD;320;2012;Sünt. kangas;3,2;;1
06.06.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
06.06.2017;Väikelaev;Sõudepaat;D;KASSE;430;2016;Plastik;4,27;Uus sõiduk;1
06.06.2017;Väikelaev;Mootorpaat;C;BOMBARD;COMMANDO C4;2009;Sünt. kangas;4,3;;1
06.06.2017;Väikelaev;Mootorpaat;C;TUNA;460;2017;Alumiinium;4,58;Uus sõiduk;1
06.06.2017;Väikelaev;Mootorpaat;C;BUSTER;LE;2016;Alumiinium;5,37;Uus sõiduk;1
06.06.2017;Väikelaev;Mootorpaat;C;FASSMER;610;1981;Plastik;5,95;;1
06.06.2017;Väikelaev;Mootorpaat;C;SEA STAR;7000 CRUISER;1989;Plastik;7;;1
06.06.2017;Väikelaev;Mootorpaat;B;NIMBUS;3003;1990;Plastik;9,2;;1
06.06.2017;Väikelaev;Purjejaht;A;BENETEAU;OCEANIS 43;2007;Plastik;12,82;;1
07.06.2017;Alla 12m laev;Kalapaat;C;ALUNAUT;AC-22 CC;2017;Alumiinium;6,8;Uus sõiduk;1
07.06.2017;Väikelaev;Sõudepaat;C;CATRAN;MARINE 320AB;2014;Sünt. kangas;3,2;;1
07.06.2017;Väikelaev;Mootorpaat;D;PERLA;402;2017;Plastik;4;Uus sõiduk;1
07.06.2017;Väikelaev;Mootorpaat;D;TERHI;415 R;1985;Plastik;4,15;;1
07.06.2017;Väikelaev;Sõudepaat;C;GLADIATOR;C 420;2017;Sünt. kangas;4,2;Uus sõiduk;1
07.06.2017;Väikelaev;Mootorpaat;D;OMAVALMISTATUD;OMAVALMISTATUD;2014;Puit;4,75;;1
07.06.2017;Väikelaev;Mootorpaat;C;BELLA;540 HT;1980;Plastik;5,4;;1
08.06.2017;Väikelaev;Mootorpaat;D;MÄÄRAMATA;-;1972;Plastik;3,5;;1
08.06.2017;Väikelaev;Mootorpaat;C;TERHI;445 C;2017;Plastik;4,45;Uus sõiduk;1
08.06.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
08.06.2017;Väikelaev;Mootorpaat;C;RANA;16;1987;Plastik;4,95;;1
08.06.2017;Väikelaev;Mootorpaat;C;NORDIC;79;1972;Plastik;7,9;;1
09.06.2017;Jett;Määramata;C;SEA-DOO;SPARK 900;2017;Määramata;2,83;Uus sõiduk;1
09.06.2017;Jett;Määramata;C;SEA-DOO;SPARK 900 HO TRIXX;2017;Määramata;2,9;Uus sõiduk;1
09.06.2017;Jett;Määramata;C;SEA-DOO;GTR 230;2017;Määramata;3,37;Uus sõiduk;1
09.06.2017;Väikelaev;Sõudepaat;C;JENHAL;Y-270;2015;Kumm;2,72;Uus sõiduk;1
09.06.2017;Väikelaev;Sõudepaat;C;CATRAN;ENDURO 320PG;2014;Sünt. kangas;3,2;;1
09.06.2017;Väikelaev;Mootorpaat;C;F-RIB;360 RF SPRINT;2017;Plastik;3,6;Uus sõiduk;1
09.06.2017;Väikelaev;Mootorpaat;C;DULKAN;D400;2017;Sünt. kangas;4;Uus sõiduk;1
09.06.2017;Väikelaev;Mootorpaat;C;NORDLINE;41M;2017;Plastik;4,1;Uus sõiduk;1
09.06.2017;Väikelaev;Sõudepaat;D;KASSE;430;2017;Plastik;4,27;Uus sõiduk;1
09.06.2017;Väikelaev;Sõudepaat;D;SKIPP;440;2016;Plastik;4,4;Uus sõiduk;1
09.06.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
09.06.2017;Väikelaev;Mootorpaat;D;KRÕM;3;1981;Alumiinium;4,7;;1
09.06.2017;Väikelaev;Mootorpaat;C;DARRAGH ;FALCON;1989;Plastik;7,4;;1
10.06.2017;Väikelaev;Sõudepaat;D;FISHMAN II;500;2015;Sünt. kangas;3,28;Uus sõiduk;1
10.06.2017;Väikelaev;Mootorpaat;D;SOFA;HT-15;1975;Plastik;4,7;;1
12.06.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
12.06.2017;Väikelaev;Sõudepaat;D;FISHMAN II;500;2013;Sünt. kangas;3,28;;1
12.06.2017;Väikelaev;Mootorpaat;C;ROMANA;430;2014;Plastik;4,2;;1
12.06.2017;Väikelaev;Mootorpaat;C;EMILI;460;2016;Plastik;4,51;Uus sõiduk;1
13.06.2017;Alla 12m laev;Kalapaat;D;HR;400;2009;Plastik;4;;1
13.06.2017;Väikelaev;Sõudepaat;D;SEEMANN;MLA 2900K;2016;Sünt. kangas;2,9;Uus sõiduk;1
13.06.2017;Väikelaev;Mootorpaat;C;DULKAN;D345;2017;Sünt. kangas;3,45;Uus sõiduk;1
13.06.2017;Väikelaev;Purjejaht;D;OMAVALMISTATUD;PERTEL 13 CATBOAT;2017;Puit;3,97;Uus sõiduk;1
13.06.2017;Väikelaev;Mootorpaat;D;TERHI;405 FUN;1993;Plastik;4,01;;1
13.06.2017;Väikelaev;Mootorpaat;C;ROMANA;430;2017;Plastik;4,2;Uus sõiduk;1
13.06.2017;Väikelaev;Mootorpaat;D;KIILI PAAT;440;2016;Plastik;4,4;Uus sõiduk;1
13.06.2017;Väikelaev;Mootorpaat;C;ASTRA;490;2016;Plastik;4,9;Uus sõiduk;1
13.06.2017;Väikelaev;Mootorpaat;C;WHALY;500;2017;Plastik;4,99;Uus sõiduk;1
13.06.2017;Väikelaev;Mootorpaat;C;BUSTER;XXL CABIN;2001;Alumiinium;5,8;;1
13.06.2017;Väikelaev;Mootorpaat;B;STARFISHER;670;2007;Plastik;6,3;;1
13.06.2017;Väikelaev;Purjejaht;C;NAUTICAT;MINI CAT;1975;Plastik;7,5;;1
13.06.2017;Väikelaev;Mootorpaat;B;STARFISHER;840B;2007;Plastik;7,98;;1
14.06.2017;Jett;Määramata;C;BOMBARDIER (SEA-DOO);RXP;2001;Määramata;2,7;;1
14.06.2017;Jett;Määramata;C;SEA-DOO;GTR-X 230;2017;Määramata;3,32;Uus sõiduk;1
14.06.2017;Väikelaev;Sõudepaat;C;Z- RAY;III 400;2011;Sünt. kangas;3,1;;1
14.06.2017;Väikelaev;Mootorpaat;D;CURSUS;440;2017;Plastik;4,4;Uus sõiduk;1
14.06.2017;Väikelaev;Sõudepaat;D;SUVI;495 SVM;2014;Plastik;4,95;;1
14.06.2017;Väikelaev;Mootorpaat;C;QUICKSILVER;500 PILOTHOUSE;2017;Plastik;5;Uus sõiduk;1
15.06.2017;Väikelaev;Mootorpaat;D;JAGO;320;2013;Sünt. kangas;3,2;;1
15.06.2017;Väikelaev;Mootorpaat;D;PERLA;402;2017;Plastik;4;Uus sõiduk;1
15.06.2017;Väikelaev;Mootorpaat;D;OMAVALMISTATUD;-;1998;Plastik;4,15;;1
15.06.2017;Väikelaev;Mootorpaat;C;PROGRESS;4;1979;Alumiinium;4,65;;1
15.06.2017;Väikelaev;Mootorpaat;C;BUSTER;XXL;2002;Alumiinium;5,8;;1
15.06.2017;Väikelaev;Mootorpaat;C;ANYTEC;622 SPD;2017;Alumiinium;6,28;Uus sõiduk;1
16.06.2017;Jett;Määramata;C;SEA-DOO;SPARK 900;2017;Määramata;2,83;Uus sõiduk;1
16.06.2017;Jett;Määramata;C;SEA-DOO;RXP-X 300 RS;2017;Määramata;3,32;Uus sõiduk;1
16.06.2017;Väikelaev;Sõudepaat;D;DULKAN;290 DL;2016;Sünt. kangas;2,9;Uus sõiduk;1
16.06.2017;Väikelaev;Mootorpaat;C;HONWAVE;T35AE2;2016;Sünt. kangas;3,53;Uus sõiduk;1
16.06.2017;Väikelaev;Mootorpaat;C;AQUA MARINA;BT-06360WD;2014;Sünt. kangas;3,59;;1
16.06.2017;Väikelaev;Mootorpaat;C;GLADIATOR;370;2017;Sünt. kangas;3,7;Uus sõiduk;1
16.06.2017;Väikelaev;Mootorpaat;D;PERLA;402;2017;Plastik;4;Uus sõiduk;1
16.06.2017;Väikelaev;Mootorpaat;D;SELCO;RIVIERA JUNIOR;1975;Plastik;4,1;;1
16.06.2017;Väikelaev;Mootorpaat;C;TUNA;410;2017;Alumiinium;4,16;Uus sõiduk;1
16.06.2017;Väikelaev;Mootorpaat;C;DULKAN;D-420 DZ;2017;Sünt. kangas;4,2;Uus sõiduk;1
16.06.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
16.06.2017;Väikelaev;Mootorpaat;C;ASTRA;435 SILVERFISH;2017;Plastik;4,3;Uus sõiduk;1
16.06.2017;Väikelaev;Sõudepaat;C;OMAVALMISTATUD;OMAVALMISTATUD;1985;Plastik;4,5;;1
16.06.2017;Väikelaev;Mootorpaat;C;FINVAL;475 EVO JS;2017;Alumiinium;4,72;Uus sõiduk;1
16.06.2017;Väikelaev;Mootorpaat;C;REGAL;2000;2015;Sünt. kangas;6,1;Uus sõiduk;1
16.06.2017;Väikelaev;Mootorpaat;C;AVON;SR6 ;1992;Sünt. kangas;6,35;;1
16.06.2017;Väikelaev;Mootorpaat;C;TUNA;800;2017;Alumiinium;8,04;Uus sõiduk;1
16.06.2017;Väikelaev;Mootorpaat;C;BAJA;272;1999;Plastik;8,4;;1
16.06.2017;Väikelaev;Purjejaht;A;DUFOUR;37 GIB SEA;2002;Plastik;10,98;;1
17.06.2017;Väikelaev;Sõudepaat;C;KOLIBRI;KM 330;2016;Sünt. kangas;3,3;Uus sõiduk;1
17.06.2017;Väikelaev;Mootorpaat;D;SEILSAT;C440;2015;Plastik;4,4;;1
19.06.2017;Väikelaev;Mootorpaat;C;CATRAN;ENDURO 360PG;2014;Sünt. kangas;3,6;;1
19.06.2017;Väikelaev;Mootorpaat;D;OMAVALMISTATUD;-;1978;Plastik;3,77;;1
19.06.2017;Väikelaev;Mootorpaat;D;TERHI;SEA FUN;2002;Plastik;4,06;;1
19.06.2017;Väikelaev;Mootorpaat;D;VILLE;510;1999;Plastik;5,05;;1
19.06.2017;Väikelaev;Mootorpaat;C;NORTHSILVER;665 M CABIN;2017;Alumiinium;6,17;Uus sõiduk;1
19.06.2017;Väikelaev;Mootorpaat;C;QUICKSILVER;ACTIV 705 CRUISER;2012;Plastik;6,8;;1
20.06.2017;Jett;Määramata;C;SEA-DOO;SPARK 900 HO TRIXX;2017;Määramata;2,9;Uus sõiduk;1
20.06.2017;Väikelaev;Mootorpaat;D;VELES;275;2017;Sünt. kangas;2,75;Uus sõiduk;1
20.06.2017;Väikelaev;Sõudepaat;D;VIIKING;380 CLASSIK;2017;Plastik;3,85;Uus sõiduk;1
20.06.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
20.06.2017;Väikelaev;Mootorpaat;D;OMAVALMISTATUD;OMAVALMISTATUD;1986;Plastik;4,2;;1
20.06.2017;Väikelaev;Mootorpaat;D;CRESCENT;418;1985;Plastik;4,23;;1
20.06.2017;Väikelaev;Mootorpaat;D;C-440 A;-;2016;Plastik;4,4;Uus sõiduk;1
20.06.2017;Väikelaev;Mootorpaat;C;AMT;170 BRS;2015;Plastik;5;Uus sõiduk;1
20.06.2017;Väikelaev;Mootorpaat;C;FASTER;560 SC;2015;Alumiinium;5,64;Uus sõiduk;1
20.06.2017;Väikelaev;Mootorpaat;C;BAYLINER;TROPHY;1988;Plastik;6,8;;1
20.06.2017;Väikelaev;Purjejaht;A;HANSE;385;2013;Plastik;10,99;;1
21.06.2017;Alla 12m laev;Kalapaat;D;HIIU;450 ;2017;Plastik;4,5;Uus sõiduk;2
21.06.2017;Väikelaev;Purjejaht;C;HAPPY CAT;NEO;2016;Sünt. kangas;4,2;Uus sõiduk;1
21.06.2017;Väikelaev;Mootorpaat;D;ALUNAUT;AC-14;2015;Alumiinium;4,25;Uus sõiduk;1
21.06.2017;Väikelaev;Mootorpaat;C;TERHI;445 C;2017;Plastik;4,45;Uus sõiduk;1
21.06.2017;Väikelaev;Mootorpaat;D;LOHI;HAMARIINA;1993;Plastik;4,6;;1
21.06.2017;Väikelaev;Purjejaht;C;HAPPY CAT;EVOLUTION;2015;Sünt. kangas;4,65;Uus sõiduk;1
21.06.2017;Väikelaev;Mootorpaat;C;NORD;480;2017;Plastik;4,8;Uus sõiduk;1
21.06.2017;Väikelaev;Mootorpaat;C;SILVER;WOLF BR510;2016;Alumiinium;5,09;Uus sõiduk;1
21.06.2017;Väikelaev;Mootorpaat;C;FINNSPORT;540HT;1980;Plastik;5,4;;1
21.06.2017;Väikelaev;Mootorpaat;C;ARENDALL-SNEKA;21;1980;Plastik;6,3;;1
21.06.2017;Väikelaev;Mootorpaat;C;AMT;215PH;2017;Plastik;6,4;Uus sõiduk;1
22.06.2017;Jett;Määramata;;SEA-DOO;RXP-X 300 RS;2017;Määramata;3,32;Uus sõiduk;1
22.06.2017;Väikelaev;Sõudepaat;D;ADMIRAL;AM280;2017;Sünt. kangas;2,8;Uus sõiduk;1
22.06.2017;Väikelaev;Mootorpaat;C;LARSEN;B 390;2017;Plastik;3,9;Uus sõiduk;1
22.06.2017;Väikelaev;Mootorpaat;D;SILVER;COLIBRI;2000;Alumiinium;4,05;;1
22.06.2017;Väikelaev;Mootorpaat;D;RYDS;430 GT;1995;Plastik;4,25;;1
22.06.2017;Väikelaev;Mootorpaat;C;BELLA;703;2010;Plastik;7,05;;1
26.06.2017;Väikelaev;Sõudepaat;D;SKIPP;400;2016;Plastik;4;Uus sõiduk;1
26.06.2017;Väikelaev;Mootorpaat;C;QUICKSILVER;ACTIV 455 CABIN;2017;Plastik;4,44;Uus sõiduk;1
26.06.2017;Väikelaev;Mootorpaat;D;KAZANKA;-;1980;Alumiinium;4,63;;1
26.06.2017;Väikelaev;Mootorpaat;D;HURRICAN;HT;1985;Sünt. kangas;4,7;;1
26.06.2017;Väikelaev;Mootorpaat;C;SUNBIRD;150;1990;Plastik;4,7;;1
27.06.2017;Jett;Määramata;C;SEA-DOO;RXP-X 300 RS;2017;Määramata;3,32;Uus sõiduk;1
27.06.2017;Väikelaev;Sõudepaat;D;JAGO;270;2016;Kumm;2,7;Uus sõiduk;1
27.06.2017;Väikelaev;Sõudepaat;D;VELES;301;2017;Sünt. kangas;3;Uus sõiduk;1
27.06.2017;Väikelaev;Sõudepaat;D;INTEX;MARINER 4;2012;Sünt. kangas;3,28;;1
27.06.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
27.06.2017;Väikelaev;Mootorpaat;D;-;-;1980;Plastik;4,7;;1
27.06.2017;Väikelaev;Purjejaht;D;CONGER;-;1978;Plastik;5;;1
27.06.2017;Väikelaev;Mootorpaat;C;BELLA;512EUROPA;1994;Plastik;5,1;;1
27.06.2017;Väikelaev;Purjejaht;C;LOHI;17;1981;Plastik;5,2;;1
27.06.2017;Väikelaev;Mootorpaat;D;CURSUS;550;2017;Plastik;5,4;Uus sõiduk;1
27.06.2017;Väikelaev;Mootorpaat;C;SILVER HAWK;540DC;2005;Alumiinium;5,4;;1
27.06.2017;Väikelaev;Mootorpaat;C;FJORDSTAR;580;2017;Kumm;5,85;Uus sõiduk;1
28.06.2017;Väikelaev;Sõudepaat;D;VIIKING;280;2009;Plastik;2,8;;1
28.06.2017;Väikelaev;Mootorpaat;D;DULKAN;GAUJA 285 R;2017;Sünt. kangas;2,85;Uus sõiduk;1
28.06.2017;Väikelaev;Sõudepaat;C;JENHAL;Y 330;2016;Sünt. kangas;3,25;Uus sõiduk;1
28.06.2017;Väikelaev;Sõudepaat;D;NORDLINE;38;2017;Plastik;3,8;Uus sõiduk;1
28.06.2017;Väikelaev;Sõudepaat;D;IDEAL;415;2014;Plastik;4,15;;1
28.06.2017;Väikelaev;Sõudepaat;D;KASSE;430;2016;Plastik;4,27;Uus sõiduk;1
28.06.2017;Väikelaev;Mootorpaat;D;KAZANKA;5M2;1989;Alumiinium;4,6;;1
28.06.2017;Väikelaev;Mootorpaat;D;PROGRESS;4;1975;Alumiinium;4,7;;1
28.06.2017;Väikelaev;Mootorpaat;C;ADVENTURE;V-500;2004;Sünt. kangas;5,2;;1
29.06.2017;Jett;Määramata;C;SEA-DOO;SPARK 900 HO TRIXX;2017;Määramata;2,9;Uus sõiduk;1
29.06.2017;Väikelaev;Sõudepaat;D;CHEYENNE III;400;2016;Sünt. kangas;2,84;Uus sõiduk;1
29.06.2017;Väikelaev;Purjejaht;C;HAPPY CAT;ULTRALIGHT;2012;Sünt. kangas;4,25;;1
29.06.2017;Väikelaev;Mootorpaat;C;TERHI;NORDIC 6020 C;2017;Plastik;4,62;Uus sõiduk;1
29.06.2017;Väikelaev;Mootorpaat;B;STEALTH;SPORT;1998;Plastik;5,8;;1
29.06.2017;Väikelaev;Mootorpaat;C;BELLA;700;1990;Plastik;7,02;;1
29.06.2017;Väikelaev;Mootorpaat;C;ANYTEC;868 CAB;2017;Alumiinium;8,87;Uus sõiduk;1
30.06.2017;Väikelaev;Mootorpaat;D;JAGO;320;2016;Sünt. kangas;3,2;Uus sõiduk;1
30.06.2017;Väikelaev;Sõudepaat;D;-;-;1975;Plastik;3,25;;1
30.06.2017;Väikelaev;Sõudepaat;D;LATREX;400;2015;Plastik;4;Uus sõiduk;1
30.06.2017;Väikelaev;Sõudepaat;D;KASSE;430;1999;Plastik;4,27;;1
30.06.2017;Väikelaev;Mootorpaat;C;NEPTUN;3;1977;Plastik;4,3;;1
30.06.2017;Väikelaev;Mootorpaat;C;KIILI;510 CC;2017;Plastik;5,1;Uus sõiduk;1
30.06.2017;Väikelaev;Mootorpaat;C;FLIPPER;880 ST;2017;Plastik;8,52;Uus sõiduk;1
30.06.2017;Väikelaev;Mootorpaat;B;SARGO;33;2017;Plastik;9,88;Uus sõiduk;1
01.07.2017;Väikelaev;Mootorpaat;D;-;-;1992;Plastik;4,2;;1
01.07.2017;Väikelaev;Mootorpaat;C;TERHI;NORDIC 6020 C;2013;Plastik;4,62;;1
03.07.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
03.07.2017;Väikelaev;Mootorpaat;D;MOVE;10K;1975;Plastik;4,1;;1
03.07.2017;Väikelaev;Sõudepaat;D;OMAVALMISTATUD;-;2002;Plastik;4,15;;1
03.07.2017;Väikelaev;Mootorpaat;D;HIIU;450;2017;Plastik;4,5;Uus sõiduk;1
04.07.2017;Jett;Määramata;C;SEA-DOO;RXP-X 300 RS;2017;Määramata;3,32;Uus sõiduk;1
04.07.2017;Jett;Määramata;C;SEA-DOO;GTX LTD 300;2017;Määramata;3,54;Uus sõiduk;1
04.07.2017;Väikelaev;Sõudepaat;D;WIGRY;310;2015;Plastik;3,1;Uus sõiduk;1
04.07.2017;Väikelaev;Mootorpaat;C;BUSH;B 330;2016;Sünt. kangas;3,3;Uus sõiduk;1
04.07.2017;Väikelaev;Mootorpaat;C;OMEGA;TP330KU;2017;Sünt. kangas;3,3;Uus sõiduk;1
04.07.2017;Väikelaev;Mootorpaat;C;LATREX;430;2016;Plastik;4,3;Uus sõiduk;1
04.07.2017;Väikelaev;Mootorpaat;D;RIVIERA;R;1975;Plastik;4,3;;1
04.07.2017;Väikelaev;Mootorpaat;D;VATOR;15 GL;1987;Plastik;4,35;;1
04.07.2017;Väikelaev;Sõudepaat;D;PELLA;NOVA;2017;Plastik;4,4;Uus sõiduk;1
04.07.2017;Väikelaev;Mootorpaat;C;YAMARIN;5220 ;1998;Plastik;5,2;;1
05.07.2017;Alla 12m laev;Kalapaat;D;HIIU;450 ;2017;Plastik;4,5;Uus sõiduk;1
05.07.2017;Alla 12m laev;Kalapaat;C;KULKURI;30;1982;Plastik;9;;1
05.07.2017;Väikelaev;Mootorpaat;D;TERHI;MICRO FUN;1990;Plastik;3,15;;1
05.07.2017;Väikelaev;Sõudepaat;D;AQUA STORM;STM330;2016;Sünt. kangas;3,3;Uus sõiduk;1
05.07.2017;Väikelaev;Mootorpaat;C;BESTWAY;MIROVIA PRO;2017;Kumm;3,3;Uus sõiduk;1
05.07.2017;Väikelaev;Mootorpaat;C;DULKAN;D345;2017;Sünt. kangas;3,45;Uus sõiduk;1
05.07.2017;Väikelaev;Mootorpaat;C;AQUASTAR;K350;2015;Sünt. kangas;3,5;Uus sõiduk;1
05.07.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
05.07.2017;Väikelaev;Mootorpaat;C;RAIS-SPORT;470;1975;Plastik;4,7;;1
05.07.2017;Väikelaev;Mootorpaat;C;SJÖSALA;-;1990;Plastik;4,75;;1
05.07.2017;Väikelaev;Mootorpaat;C;ÖRNVIK;510;1980;Plastik;5,1;;1
06.07.2017;Jett;Määramata;C;SEA-DOO;RXT;2009;Määramata;3,5;;1
06.07.2017;Jett;Määramata;C;SEA-DOO;RXT-X RS 300;2017;Määramata;3,55;Uus sõiduk;1
06.07.2017;Väikelaev;Mootorpaat;D;DULKAN;D-290 DL;2017;Sünt. kangas;2,9;Uus sõiduk;1
06.07.2017;Väikelaev;Mootorpaat;D;TERHI;410;1989;Plastik;4,1;;1
06.07.2017;Väikelaev;Sõudepaat;D;LOHI;420;1988;Plastik;4,17;;1
