Liiklusregistris 2017 aastal esmaselt registreeritud veesõidukid.;;;;;;;;;;
;;;;;;;;;;
Eestis esm reg kp;Liik;Tüüp;Kategooria;Mark;Mudel;Ehitusaasta;Kere materjal;Pikkus;Varasem kasutus;Arv
06.04.2017;Väikelaev;Mootorpaat;C;BUSH;CRAB K-360;2017;Sünt. kangas;3,6;Uus sõiduk;1
06.04.2017;Väikelaev;Mootorpaat;D;C-440;-;2016;Plastik;4,4;Uus sõiduk;1
06.04.2017;Väikelaev;Mootorpaat;C;TERHI;445 C;2017;Plastik;4,45;Uus sõiduk;1
06.04.2017;Väikelaev;Mootorpaat;C;BUSTER;M;2003;Alumiinium;4,6;;1
06.04.2017;Väikelaev;Mootorpaat;C;MICROPLUS;-;1997;Plastik;5;;1
06.04.2017;Väikelaev;Mootorpaat;C;SILVER;WOLF DC510;2015;Alumiinium;5,1;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;D;CATRAN;MARINE 320AB ;2014;Sünt. kangas;3,2;;1
07.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;D;PERLA;402;2017;Plastik;4;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;C;CATRAN;MARINE 420 AB;2014;Sünt. kangas;4,2;;1
07.04.2017;Väikelaev;Mootorpaat;D;MARINO;-;1985;Plastik;4,25;;1
07.04.2017;Väikelaev;Mootorpaat;C;AMBER;430;2016;Plastik;4,3;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;C;TERHI;445 C;2017;Plastik;4,45;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;D;PERLA;455;2016;Plastik;4,5;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;D;NORD;460D;2016;Plastik;4,6;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;C;FISKARI;25;1980;Plastik;7,5;;1
07.04.2017;Väikelaev;Mootorpaat;B;BAYLINER;285 SB;2000;Plastik;8,76;;1
07.04.2017;Väikelaev;Purjejaht;B;BOSTRÖM;B31;1973;Plastik;9,34;;1
08.04.2017;Väikelaev;Mootorpaat;C;GLADIATOR;330;2016;Sünt. kangas;3,3;Uus sõiduk;1
10.04.2017;Alla 12m laev;Tööpaat ;C;MÄÄRAMATA;-;1984;Alumiinium;10,3;;1
10.04.2017;Väikelaev;Mootorpaat;D;TERHI;415 R;1988;Plastik;4,15;;1
10.04.2017;Väikelaev;Sõudepaat;D;KASSE;430;2017;Plastik;4,27;Uus sõiduk;1
10.04.2017;Väikelaev;Mootorpaat;D;SKIPP;440;2016;Plastik;4,4;Uus sõiduk;1
10.04.2017;Väikelaev;Mootorpaat;D;PERLA;530;2017;Plastik;5,45;Uus sõiduk;1
10.04.2017;Väikelaev;Mootorpaat;C;DAHL;DAHL20;2017;Plastik;6,15;Uus sõiduk;1
10.04.2017;Väikelaev;Mootorpaat;C;PANTHER;22;2014;Plastik;6,81;;1
10.04.2017;Väikelaev;Mootorpaat;C;MARE;R75;2017;Plastik;7,5;Uus sõiduk;1
10.04.2017;Väikelaev;Mootorpaat;C;ANYTEC;750 SPD;2017;Alumiinium;8,08;Uus sõiduk;1
11.04.2017;Väikelaev;Mootorpaat;C;AQUA STORM;STK330;2016;Sünt. kangas;3,3;Uus sõiduk;1
11.04.2017;Väikelaev;Sõudepaat;D;LATREX;335;2016;Plastik;3,35;Uus sõiduk;1
11.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D-370 DZ;2017;Sünt. kangas;3,7;Uus sõiduk;1
11.04.2017;Väikelaev;Sõudepaat;D;NORDLINE;38;2017;Plastik;3,8;Uus sõiduk;1
11.04.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
